"","date","location_key","new_confirmed","new_deceased","new_recovered","new_tested","cumulative_confirmed","cumulative_deceased","cumulative_recovered","cumulative_tested"
"1",2020-03-11,"US_LA_22017",NA,NA,NA,NA,1,0,NA,NA
"2",2020-03-12,"US_LA_22017",0,0,NA,NA,1,0,NA,NA
"3",2020-03-13,"US_LA_22017",0,0,NA,NA,1,0,NA,NA
"4",2020-03-14,"US_LA_22017",1,0,NA,NA,2,0,NA,NA
"5",2020-03-15,"US_LA_22017",0,0,NA,NA,2,0,NA,NA
"6",2020-03-16,"US_LA_22017",1,0,NA,NA,3,0,NA,NA
"7",2020-03-17,"US_LA_22017",1,0,NA,NA,4,0,NA,NA
"8",2020-03-18,"US_LA_22017",2,0,NA,NA,6,0,NA,NA
"9",2020-03-19,"US_LA_22017",4,0,NA,NA,10,0,NA,NA
"10",2020-03-20,"US_LA_22017",2,0,NA,NA,12,0,NA,NA
"11",2020-03-21,"US_LA_22017",3,0,NA,NA,15,0,NA,NA
"12",2020-03-22,"US_LA_22017",1,0,NA,NA,16,0,NA,NA
"13",2020-03-23,"US_LA_22017",18,0,NA,NA,34,0,NA,NA
"14",2020-03-24,"US_LA_22017",6,0,NA,NA,40,0,NA,NA
"15",2020-03-25,"US_LA_22017",53,0,NA,NA,93,0,NA,NA
"16",2020-03-26,"US_LA_22017",22,1,NA,NA,115,1,NA,NA
"17",2020-03-27,"US_LA_22017",25,1,NA,NA,140,2,NA,NA
"18",2020-03-28,"US_LA_22017",49,0,NA,NA,189,2,NA,NA
"19",2020-03-29,"US_LA_22017",30,3,NA,NA,219,5,NA,NA
"20",2020-03-30,"US_LA_22017",3,0,NA,NA,222,5,NA,NA
"21",2020-03-31,"US_LA_22017",20,2,NA,NA,242,7,NA,NA
"22",2020-04-01,"US_LA_22017",56,0,NA,NA,298,7,NA,NA
"23",2020-04-02,"US_LA_22017",38,3,NA,NA,336,10,NA,NA
"24",2020-04-03,"US_LA_22017",41,0,NA,NA,377,10,NA,NA
"25",2020-04-04,"US_LA_22017",221,0,NA,NA,598,10,NA,NA
"26",2020-04-05,"US_LA_22017",49,9,NA,NA,647,19,NA,NA
"27",2020-04-06,"US_LA_22017",64,2,NA,NA,711,21,NA,NA
"28",2020-04-07,"US_LA_22017",45,5,NA,NA,756,26,NA,NA
"29",2020-04-08,"US_LA_22017",47,-1,NA,NA,803,25,NA,NA
"30",2020-04-09,"US_LA_22017",103,1,NA,NA,906,26,NA,NA
"31",2020-04-10,"US_LA_22017",44,13,NA,NA,950,39,NA,NA
"32",2020-04-11,"US_LA_22017",24,0,NA,NA,974,39,NA,NA
"33",2020-04-12,"US_LA_22017",44,0,NA,NA,1018,39,NA,NA
"34",2020-04-13,"US_LA_22017",15,0,NA,NA,1033,39,NA,NA
"35",2020-04-14,"US_LA_22017",64,17,NA,NA,1097,56,NA,NA
"36",2020-04-15,"US_LA_22017",21,1,NA,NA,1118,57,NA,NA
"37",2020-04-16,"US_LA_22017",36,-2,NA,NA,1154,55,NA,NA
"38",2020-04-17,"US_LA_22017",66,1,NA,NA,1220,56,NA,NA
"39",2020-04-18,"US_LA_22017",24,12,NA,NA,1244,68,NA,NA
"40",2020-04-19,"US_LA_22017",17,2,NA,NA,1261,70,NA,NA
"41",2020-04-20,"US_LA_22017",15,2,NA,NA,1276,72,NA,NA
"42",2020-04-21,"US_LA_22017",34,11,NA,NA,1310,83,NA,NA
"43",2020-04-22,"US_LA_22017",22,1,NA,NA,1332,84,NA,NA
