"","date","location_key","new_confirmed","new_deceased","new_recovered","new_tested","cumulative_confirmed","cumulative_deceased","cumulative_recovered","cumulative_tested"
"1",2020-03-17,"US_LA_22033",NA,NA,NA,NA,1,0,NA,NA
"2",2020-03-18,"US_LA_22033",2,0,NA,NA,3,0,NA,NA
"3",2020-03-19,"US_LA_22033",3,0,NA,NA,6,0,NA,NA
"4",2020-03-20,"US_LA_22033",1,0,NA,NA,7,0,NA,NA
"5",2020-03-21,"US_LA_22033",11,0,NA,NA,18,0,NA,NA
"6",2020-03-22,"US_LA_22033",2,0,NA,NA,20,0,NA,NA
"7",2020-03-23,"US_LA_22033",23,1,NA,NA,43,1,NA,NA
"8",2020-03-24,"US_LA_22033",15,1,NA,NA,58,2,NA,NA
"9",2020-03-25,"US_LA_22033",17,1,NA,NA,75,3,NA,NA
"10",2020-03-26,"US_LA_22033",30,1,NA,NA,105,4,NA,NA
"11",2020-03-27,"US_LA_22033",19,0,NA,NA,124,4,NA,NA
"12",2020-03-28,"US_LA_22033",29,0,NA,NA,153,4,NA,NA
"13",2020-03-29,"US_LA_22033",11,3,NA,NA,164,7,NA,NA
"14",2020-03-30,"US_LA_22033",24,2,NA,NA,188,9,NA,NA
"15",2020-03-31,"US_LA_22033",40,0,NA,NA,228,9,NA,NA
"16",2020-04-01,"US_LA_22033",16,1,NA,NA,244,10,NA,NA
"17",2020-04-02,"US_LA_22033",81,1,NA,NA,325,11,NA,NA
"18",2020-04-03,"US_LA_22033",64,2,NA,NA,389,13,NA,NA
"19",2020-04-04,"US_LA_22033",232,1,NA,NA,621,14,NA,NA
"20",2020-04-05,"US_LA_22033",35,8,NA,NA,656,22,NA,NA
"21",2020-04-06,"US_LA_22033",160,3,NA,NA,816,25,NA,NA
"22",2020-04-07,"US_LA_22033",76,6,NA,NA,892,31,NA,NA
"23",2020-04-08,"US_LA_22033",43,2,NA,NA,935,33,NA,NA
"24",2020-04-09,"US_LA_22033",65,3,NA,NA,1000,36,NA,NA
"25",2020-04-10,"US_LA_22033",88,3,NA,NA,1088,39,NA,NA
"26",2020-04-11,"US_LA_22033",70,6,NA,NA,1158,45,NA,NA
"27",2020-04-12,"US_LA_22033",65,4,NA,NA,1223,49,NA,NA
"28",2020-04-13,"US_LA_22033",50,3,NA,NA,1273,52,NA,NA
"29",2020-04-14,"US_LA_22033",22,6,NA,NA,1295,58,NA,NA
"30",2020-04-15,"US_LA_22033",30,4,NA,NA,1325,62,NA,NA
"31",2020-04-16,"US_LA_22033",64,4,NA,NA,1389,66,NA,NA
"32",2020-04-17,"US_LA_22033",35,0,NA,NA,1424,66,NA,NA
"33",2020-04-18,"US_LA_22033",52,6,NA,NA,1476,72,NA,NA
"34",2020-04-19,"US_LA_22033",36,0,NA,NA,1512,72,NA,NA
"35",2020-04-20,"US_LA_22033",22,2,NA,NA,1534,74,NA,NA
"36",2020-04-21,"US_LA_22033",26,16,NA,NA,1560,90,NA,NA
"37",2020-04-22,"US_LA_22033",43,5,NA,NA,1603,95,NA,NA
"38",2020-04-23,"US_LA_22033",33,5,NA,NA,1636,100,NA,NA
"39",2020-04-24,"US_LA_22033",61,9,NA,NA,1697,109,NA,NA
"40",2020-04-25,"US_LA_22033",23,5,NA,NA,1720,114,NA,NA
"41",2020-04-26,"US_LA_22033",19,6,NA,NA,1739,120,NA,NA
"42",2020-04-27,"US_LA_22033",32,4,NA,NA,1771,124,NA,NA
"43",2020-04-28,"US_LA_22033",16,1,NA,NA,1787,125,NA,NA
"44",2020-04-29,"US_LA_22033",43,4,NA,NA,1830,129,NA,NA
"45",2020-04-30,"US_LA_22033",44,8,NA,NA,1874,137,NA,NA
"46",2020-05-01,"US_LA_22033",115,9,NA,NA,1989,146,NA,NA
"47",2020-05-02,"US_LA_22033",65,2,NA,NA,2054,148,NA,NA
"48",2020-05-03,"US_LA_22033",32,5,NA,NA,2086,153,NA,NA
"49",2020-05-04,"US_LA_22033",45,3,NA,NA,2131,156,NA,NA
"50",2020-05-05,"US_LA_22033",44,7,NA,NA,2175,163,NA,NA
"51",2020-05-06,"US_LA_22033",49,2,NA,NA,2224,165,NA,NA
"52",2020-05-07,"US_LA_22033",32,5,NA,NA,2256,170,NA,NA
"53",2020-05-08,"US_LA_22033",28,1,NA,NA,2284,171,NA,NA
"54",2020-05-09,"US_LA_22033",64,8,NA,NA,2348,179,NA,NA
"55",2020-05-10,"US_LA_22033",26,3,NA,NA,2374,182,NA,NA
"56",2020-05-11,"US_LA_22033",24,6,NA,NA,2398,188,NA,NA
"57",2020-05-12,"US_LA_22033",47,2,NA,NA,2445,190,NA,NA
"58",2020-05-13,"US_LA_22033",42,9,NA,NA,2487,199,NA,NA
"59",2020-05-14,"US_LA_22033",411,2,NA,NA,2898,201,NA,NA
"60",2020-05-15,"US_LA_22033",55,4,NA,NA,2953,205,NA,NA
"61",2020-05-16,"US_LA_22033",56,3,NA,NA,3009,208,NA,NA
"62",2020-05-17,"US_LA_22033",25,4,NA,NA,3034,212,NA,NA
"63",2020-05-18,"US_LA_22033",22,4,NA,NA,3056,216,NA,NA
